"name","total_profit","rights_purchase_expense"
"ASOS",479000.0,25000.0
"Bible",479000.0,25000.0
"Cytus",479000.0,25000.0
"Deck Heroes: Legacy",479000.0,25000.0
"Domino's Pizza USA",479000.0,25000.0
"Egg, Inc.",479000.0,25000.0
"Fernanfloo",479000.0,25000.0
"H*nest Meditation",479000.0,25000.0
"Narcos: Cartel Wars",479000.0,25000.0
"PewDiePie's Tuber Simulator",479000.0,25000.0
"The Guardian",479000.0,25000.0
"Toy Blast",479000.0,25000.0
"Zombie Catchers",479000.0,25000.0
"Five Nights at Freddy's 3",474100.0,29900.0
"Riptide GP: Renegade",474100.0,29900.0
"Tsuro - The Game of the Path",474100.0,29900.0
"Retro City Rampage DX",471290.08,32709.92
"Toca Life: City",465130.41,38869.59
"Toca Life: City",465129.97,38870.03
"Adobe Illustrator Draw",455000.0,25000.0
"Airbnb",455000.0,25000.0
"AJ Jump: Animal Jam Kangaroos!",455000.0,25000.0
"Alto's Adventure",455000.0,25000.0
"Angry Birds 2",455000.0,25000.0
"Angry Birds Blast",455000.0,25000.0
"Angry Birds Epic RPG",455000.0,25000.0
"Angry Birds Rio",455000.0,25000.0
"Animal Jam - Play Wild!",455000.0,25000.0
"Army of Heroes",455000.0,25000.0
"Asphalt 8: Airborne",455000.0,25000.0
"Bad Piggies HD",455000.0,25000.0
"Bejeweled Classic",455000.0,25000.0
"Boom Beach",455000.0,25000.0
"Boomerang from Instagram",455000.0,25000.0
"Bullet Force",455000.0,25000.0
"Call of DutyÂ®: Heroes",455000.0,25000.0
"Candy Crush Saga",455000.0,25000.0
"Candy Crush Soda Saga",455000.0,25000.0
"Chase Mobile",455000.0,25000.0
"Choices: Stories You Play",455000.0,25000.0
"Clash of Clans",455000.0,25000.0
"Clash Royale",455000.0,25000.0
"ClassDojo",455000.0,25000.0
"Cooking Fever",455000.0,25000.0
"Design Home",455000.0,25000.0
"Discord - Chat for Gamers",455000.0,25000.0
"Disney Crossy Road",455000.0,25000.0
"DoorDash - Food Delivery",455000.0,25000.0
"Dragon Hills",455000.0,25000.0
"Dropbox",455000.0,25000.0
